"","joblinks.1.500.","soft_skills"
"34","https://www.indeed.com//rc/clk?jk=e9df12627047d11b&fccid=d945bab513bef0db""","communication, critical thinker, decision making, experience, flexible, inspiring, management, motivated, organization, planning, research, social"
"35","https://www.indeed.com//rc/clk?jk=6210b8587766f796&fccid=c46d0116f6e69eae""","confident, experience, listening, management, research, social"
"36","https://www.indeed.com//rc/clk?jk=5965a8c997345906&fccid=a9bcf9da7de2f94a""","communication, management, organization, research, training, verbal communication"
"37","https://www.indeed.com//rc/clk?jk=e6bfc19167f95f27&fccid=13a8e1c5d5c54c5c""","organization"
"38","https://www.indeed.com//rc/clk?jk=4373fdac0d5a9318&fccid=8eb89cf7f14f9913""","communication, competitive, experience, flexible, organization, presentation"
"39","https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0BlmOse19awY9yAhRR4OmrycT6R2e-GYjh3KtFCyFdSansAgd3QuG25sT6yQbFlM7XvlY1af33i810lqV9BzSK9PkfV7Bdy8YkETmRzx8BMluWH1xwTNVDN8A8sgUbYgpmMrnBcdqNgIVq8hQ9pGApIhpEKeBC-dFUcs8PAtvAAWz3xnPOMn6YbjhIuA_crig1n0-xU2mD8W6OatbkbALl9iR6fqImTVMS6Lpxxl1JCoopeGo2h0Z3OVQ-y5jmzkCo7JRF35uLOIUKs_nU6cWhi9XoxPBKP1ma91LQL3vMHtkjNGbDODcp2Nf8_m2c5HsBxWiUZu78d2zsarMNoeu9tv_AqoYY8cI0fD140bU1DlzMwXWuq4OheCIOVnDnLkC5ZqpBxd9KQYLB-eJ3zQst014dcIl9EqezxVDq5L-EtprU-FUZwisd39zpSqJ9_5KGCgGe_Uv0SRg==&p=3&sk=&fvj=0""","communication, competitive, experience, management, organization, social, verbal communication"
"40","https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0CAlkOQ68lM1c9i6UFrT9KS7Op1QrxrLywTI0eT6e8eGcuEXUGW8K70A48jTFIuhMh1xRZu16vXzL2iyjT1MeqkKQrpG9i-hsMGZyuMTSlkI0bhE2Rn-aB_FMuEfHLAa6p9ZvnYISG_J4Yf0mWjTO-g-52tCSOikmR4r1XmElmaLCw8Inu_WaJ_zx7NcEf-49wZh9-bWOWhQ8Re388hR97JgE0gXbzpHJjibsdEH0WkJeCZ1vV-BvWjUmUAF3EbjdlnUgzYZjprcXBVJYaix-PSWXGILaWhvBmbFKP29TunMml8AyoryHzT6U7c65R5gbVYiLlU_pnUMxAYqNHiT6nivWIbv3rMS13PLRrVX_wUVo3oSmrp0iuCdqZOnP2H_oPtknw1Q0jhEOcoxHAUrp0zf473zomCGWoaasxq0zAc33auYfC87jUR_DMcJnGnZpW5sk_0opm1Vl7-OPCLJe21D2pAFLwRgKYcYuJRwf-WIZYlIxP-1a3SushMvGVmQ5OhoxDLip8smgpeKSYmtthRsJrewC6hoAmYuykvXhej_NZ-6xQYraZcCp_QzrqfWQXK7e4XGvXmLAE7TotXF8ADpKTAwYSFwetwXyD2rYaSI1peVSQjPPr5e7p6q3VT7iCx1A8t1Nv0AyK9uSKhn5j0CrzjWf_yoWx5vf89-46EOs-hAbFBvEh4RvimXsvBFLAP5XgQRn9XQkf4UpALuc0cyBZNMyfdx0dqu_JDs_v3srwSnG_pdA1CFtQbojcZKW8opJITOXzYrs5DLTGWPj6XM-BUAazyjKpr8fCLd01ztED7krDyHhiYz48XT5SYTXphRvrwMmZw_Gih3-edN5nnLXR31Dm3wtc5HWLBrnTGBvdL1VO1ywElyEzy4Tmi2H065mcj-nl1xuINuhGmONUkKEhFL3Hk2qaTdHiCCUeDNP4oy01yfY1EOD6nFAug-d_OVKj4rIN5XeKeruPv9HFzOqkOVaMoEXkGryjgX6GMx13gBoXSHZl7Ul3Zt9607L7F0Laz3B0l21nC6wX-E8Zuo0FMrdpo3Il7Ee4DiZL-rm7awyrv4CUIw0-xyoWqjufnD3YTYFCIkoN8lZxQCVAmJjvMnlUqvkmC6KLHysv-cQ==&p=4&sk=&fvj=0""","competitive, dependable, experience, flexible, motivated, planning, training, work-life balance"
"41","https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0AgsbtHVrnLnhrWetbHQMSnN3-i3E8lPft9MOY4HdQvGPdMGJX84dFvGvMFEgaGY0_bnOvy4O8ss0LAkJY-D45-Gli3uAn8soOnvZLvVcwJtIv12iBryvWUOsxVcPU0Ty5CAh0KpgsvSwbnhc1JtJ6Kr6AGGKtU0Ga8IiIq1bz7J0AZvbR5OB7AY9-pmHJdCwfN5eEzhlhq67W2NxTE9zBUUIizQP3z7Fuf2lS2a-44ed_wMwdw7JEA9iSEAl7Gi0vGqE3qrTxo-AKh7XjdZvx9DzeceLBgQzYwsdUkGDMYsqsBGiY12vkYXyaNN08nAkX7hCbD4cMlX53cFnXyr_gNrQD1dVr77g3FVg91ceEzSUMOPKSdjXfQgGMGUSNp-kelS64O61nNdrXQsRuFDBJ_9O6GmwQseu5eRLbfIPakiSovG86GL3INnP4QIm8gWBI=&p=5&sk=&fvj=0""","experience, leadership, organization, research, social"
"42","https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0AVa2Or7jP4qedeFVqOuh6EwJ_8m-YWq99U74-Xg-L0tFetMQE3kro3pPuvplN6lkOKXrEvzzvJjUSTGSOG23deT1bFgmxRmAZmNshLptWnqA-3TAwzFdNbTzDyzChM16sYvm9wVC2V7EACnrb5RXpLo_yJG6ahbfKzh0Y4F0CMYBUb1zdiXvwsE2R4N0WfMepTNYL1U0_e1zkT4QTR1_xLmwNbl6c8q6ec0nIN1LGDMhHnfoxuwgTm4WPZrrwbmb_xN7qsQFALW6dF5xEIL83yqEHza6Xj_axbxHQbRzHVJTVTcxM54jU6yODL1VaclxeVh7t6hwpm-BeXxK2cjkOFFiPTIxudTuIeGP84s4DQTLsb6v2P4ShC9Etpzo8pZViE3A9ySoWxIOvEekiTCjotrYQWCd2p34WsjAGuO4z-qa_kxazONR_jBoperlIItokLxwZeLmhzpmdZ3mOjfACjqBrWcPQhiByZqSG1GAsqzNCAcpXNlqhlIxyAAukcZrxUTS4IdmYcHIYbSepICLBc1tcT64F8OFwRg1mP1wFPZA==&p=1&sk=&fvj=0""","organization"
"43","https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0Acjr3lGWLBzJnSLr0JOeIhnRJBIlNlnblRoY9-2yUkfERxqW7wNl2pFuQohYNWvpsH6hdR-XMyxDHL3bNugpGWxMJIEkt-g-Wyt3pVrZJYoMGTAlktiN-QRLDOoUSqMK4s3RCMw9B7LxkgDCHEjTftre04MJ5EiXw5POVEaFvZXgR25N54t1KuGugd3xW2edVtmJoyVKHRE_ZK2s_pr5uG-KpMq6iiCcXGHUWPsfglkR8OHCIoKddWwwIYrLRs-nOzH1kFWPtDPHS0EXHqajdHM7oiyvgiyagqZU3U4p6RF2K4XD-qYNwvkQfPEIbTL5YQui0OjZEZ237ddzyU63zqajYpSgIqf_wQMNFgI3Nui9rY_QrckJk7zL75aWYgRf4LuET-VWJVT-J-_5vqS0Xw5tBAfax0uttltWL2ZLS4GrC_z7yTCXhMqbMglUU8ldKHbXI0_sHmvBAapFldT4Ql2ib4yqhmx-0Vou3BQvohD67JT5ZBF5gVi0KNg_DkUdE=&p=2&sk=&fvj=0""","communication, competitive, dedicated, experience, interpersonal, management, social, training"
