"","SCHOOL","PROGRAM","DEGREE","ONLINE","ONCAMPUS","COUNTRY","STATE","CITY","DEPARTMENT","URL","skills"
"397","Texas A & M University-College Station","Online M.S. in Applied Statistics","M",FALSE,TRUE,"US","TX","College Station","Department of Statistics","http://www.stat.tamu.edu/dist/programs.php","management, presentation, research, social"
"398","Texas Tech University","Master of Science in Data Science","M",FALSE,TRUE,"US","TX","Lubbock","Rawls College of Business","https://www.depts.ttu.edu/rawlsbusiness/graduate/ms/datascience/","communication, management, mentoring, organization, research, social"
"399","The University of Texas at Austin","Master of Science in Business Analytics","M",FALSE,TRUE,"US","TX","Austin","Red McCombs School of Business","http://www.mccombs.utexas.edu/business-analytics.aspx","communication, experience, management, presentation, research, social"
"400","The University of Texas at Dallas","Master of Science in Marketing with Specialization in Marketing Analytics","M",TRUE,FALSE,"US","TX","Richardson","Naveen Jindal School of Management","http://jindal.utdallas.edu/academic-areas/marketing/master-of-science-in-marketing/ms-in-marketing-course-descriptions/","communication, experience, leadership, management, organization, research, social, training"
"401","The University of Texas at Dallas","Master of Science in Healthcare Management with Specialization in Healthcare informatics","M",TRUE,FALSE,"US","TX","Richardson","Naveen Jindal School of Management","http://jindal.utdallas.edu/academic-programs/masters-programs/master-of-science-in-healthcare-management/","communication, experience, leadership, management, organization, research, social, training"
"402","The University of Texas at Dallas","Master of Science in Business Analytics","M",FALSE,TRUE,"US","TX","Richardson","Jindal School of Management","http://www.utdallas.edu/admissions/graduate/degrees/detail.php?d=1791","competitive, decision making, experience, research, social"
"403","The University of Texas at Dallas","Social Data Analytics and Research","M",FALSE,TRUE,"US","TX","Richardson","School of Economic, Political and Policy Sciences","http://epps.utdallas.edu/sdar/	","friendly, organization, planning, research, social"
"404","The University of Texas at San Antonio","Master of Science in Applied Statistics","M",TRUE,FALSE,"US","TX","San Antonio","College of Business","http://graduateschool.utsa.edu/future-students/academic-programs/applied-statistics-m.s","communication, highly recommended, leadership, management, organization, planning, research, social"
"405","University of Dallas","MS or MBA - Business Analytics","M",FALSE,TRUE,"US","TX","Dallas","Satish and Yasmin Gupta College of Business","http://udallas.edu/cob/academics/ms/business_analytics/index.php","experience, leadership, organization, social, training"
"406","University of North Texas","MS - Business Analytics","M",FALSE,TRUE,"US","TX","Denton","College of Business","http://www.cob.unt.edu/programs/masters/tracksheets/MS%20Business%20Analytics.pdf",""
"407","University of Utah","MS in Computing: Data Management & Analysis","M",TRUE,TRUE,"US","UT","Salt Lake City","School of Computing","http://www.cs.utah.edu/graduate/hb2014-15/gradhbk2014-15-ms-guidelines/","independent, research, respectable"
"408","University of Utah","Big Data Certificate","C",FALSE,TRUE,"US","UT","Salt Lake City","School of Computing","http://www.cs.utah.edu/bigdata/","research, social, training"
"409","Westminster College","Minor in Data Science","B",FALSE,TRUE,"US","UT","Salt Lake City","Data Science","https://catalog.westminstercollege.edu/undergraduate2016-2017/data-science-data/","communication, flexible, presentation, research, social"
"410","George Mason University","Spatial Business Intelligence Graduate Certificate","C",TRUE,FALSE,"US","VA","Fairfax","School of Management","http://catalog.gmu.edu/preview_program.php?catoid=5&poid=3296&returnto=85",""
"411","George Mason University","MS in Computational Science","M",FALSE,TRUE,"US","VA","Fairfax","School of Physics, Astronomy, and Computational Sciences","http://spacs.gmu.edu/ms-in-computational-science/",""
"412","George Mason University","Computational Data Sciences Minor","B",FALSE,TRUE,"US","VA","Fairfax","School of Physics, Astronomy, and Computational Sciences","http://spacs.gmu.edu/minor-in-computational-and-data-sciences/",""
"413","George Mason University","Computational Sciences and Informatics","D",FALSE,TRUE,"US","VA","Fairfax","School of Physics, Astronomy, and Computational Sciences","http://spacs.gmu.edu/phd-in-computational-sciences-and-informatics/",""
"414","George Mason University","MS in Data Analytics Engineering","M",TRUE,FALSE,"US","VA","Fairfax","Volgenau School of Engineering","http://volgenau.gmu.edu/dae","communication, planning, research, social"
"415","George Mason University","Masters in Information Systems","M",FALSE,TRUE,"US","VA","Fairfax","Department of Computer Science","https://cs.gmu.edu/programs/masters/infs/","organization, research"
"416","Radford University","MS in Data and Information Management","M",TRUE,FALSE,"US","VA","Radford","College of Science and Technology: Department of Information Technology","http://www.radford.edu/content/csat/home/daim/about.html","experience, leadership, management, organization, planning, research"
"417","University of Virginia","Master of Science in Data Science (MSDS)","M",TRUE,FALSE,"US","VA","Charlottesville","Data Science Institute","http://dsi.virginia.edu/academics","flexible, leadership, management, mentoring, research, training"
"418","Virginia Commonwealth University","Master of Science in Business, concentration in Decision Sciences and Business Analytics","M",FALSE,TRUE,"US","VA","Richmond","School of Business","http://www.pubapps.vcu.edu/bulletins/prog_search/?did=20172",""
"419","Virginia Polytechnic Institute and State University","Computational Modeling and Data Analytics","B",FALSE,TRUE,"US","VA","Blacksburg","College of Science","http://www.ais.science.vt.edu/programs/cmda.html","experience, social"
"420","Statistics.com","Analytics for Data Science","C",TRUE,FALSE,"US","VA","Arlington","","http://www.statistics.com/analytics-for-data-science/","decision making, experience, flexible, persuasion, presentation, scheduling, social"
"421","William and Mary","Business Analytics","M",FALSE,TRUE,"US","VA","Williamsburg","Mason School of Business","http://mason.wm.edu/programs/msba/","competitive, dedicated, friendly, management, organization, social"
"422","Bellevue College","Healthcare Data Analyst Certificate","C",TRUE,FALSE,"US","WA","Bellevue","Bellevue College Continuing Education","http://www.bellevuecollege.edu/ce/healthcare-classes/healthcare-data-analyst-certificate/","management, organization, social, training"
"423","City University of Seattle","Master of Science in Computer Systems with Concentration in Big Data Management","M",FALSE,TRUE,"US","WA","Seattle","Technology Institute","http://www.cityu.edu/programs/ti/ms_computer_systems.aspx",""
"424","Seattle University","Master of Science in Business Analytics","M",FALSE,TRUE,"US","WA","Seattle","Albers School of Business and Economics","https://www.seattleu.edu/albers/msba/","dedicated, leadership, planning, social"
"425","Seattle University","Graduate Certificate in Business Analytics","C",TRUE,TRUE,"US","WA","Seattle","Albers School of Business and Economics","https://www.seattleu.edu/albers/graduate/certificates/business-analytics/","communication, experience, leadership, management, research, social"
"426","University of Washington-Seattle Campus","M.S. in Data Science","M",FALSE,TRUE,"US","WA","Seattle","Interdisciplinary","http://datasciencemasters.uw.edu/","leadership, organization, research"
"427","University of Washington-Seattle Campus","Certificate in Data Science","C",FALSE,TRUE,"US","WA","Seattle","UW Department of Computer Science & Engineering","http://escience.washington.edu/content/certificate-data-science",""
"428","University of Washington-Tacoma Campus","Big Data","D",FALSE,TRUE,"US","WA","Tacoma","Interdisciplinary","http://escience.washington.edu/education-IGERT",""
"429","University of Washington-Tacoma Campus","Certificate in Business Analysis","C",TRUE,TRUE,"US","WA","Tacoma","Professional and Continuing Education","http://www.pce.uw.edu/certificates/business-analysis.html","communication, competitive, decision making, experience, facilitating, flexible, interpersonal, leadership, management, organization, planning, presentation, research, social"
"430","University of Washington-Tacoma Campus","Certificate in Business Intelligence","C",FALSE,TRUE,"US","WA","Tacoma","UW Department of Computer Science & Engineering","http://www.pce.uw.edu/certificates/business-intelligence-decision-making.html","communication, decision making, experience, flexible, leadership, management, organization, planning, presentation, social"
"431","Washington State University","Online Executive MBA","C",FALSE,TRUE,"US","WA","Pullman","WSU Carson College of Business","http://embaonline.wsu.edu/","confident, enthusiastic, experience, leadership, management, organization, planning, presentation, research, social"
"432","University of Wisconsin-Madison","Master of Engineering in Applied Computing and Engineering Data Analytics","M",FALSE,TRUE,"US","WI","Madison","Department of Engineering Professional Development"," https://epd.wisc.edu/online-degree/applied-computing-and-engineering-data-analytics/",""
"433","University of Wisconsin Colleges","Online Master of Science in Data Science","M",FALSE,TRUE,"US","WI","Madison","UW Extension","http://datasciencedegree.wisconsin.edu/","communication, competitive, experience, flexible, management, organization, research, training"
"434","University of Wisconsin Colleges","Graduate Certificate in Business Analytics (UW-Milwaukee)","C",TRUE,FALSE,"US","WI","Madison","Lubar School of Business","http://ecampus.wisconsin.edu/online-certificate/certificate-in-business-analytics-uw-milwaukee.aspx","competitive, decision making, management, organization, social"
"435","University of Wisconsin-Madison","Master of Science in Statistics - Data Science","M",FALSE,TRUE,"US","WI","Madison","Department of Statistics","https://advanceyourcareer.wisc.edu/degrees/data-science/","communication, experience, leadership, management, organization, planning, social, strategic planning"
"436","University of Wisconsin-Milwaukee","Online Graduate Certificate in Business Analytics","C",TRUE,FALSE,"US","WI","Milwaukee","The Lubar School of Business","http://www4.uwm.edu/business/programs/certificates/business-analytics.cfm",""
"437","University of Wisconsin-River Falls","Data Science and Predictive Analytics","B",FALSE,TRUE,"US","WI","River Falls","Business and Economics","https://www.uwrf.edu/CBE/Programs/DataScience.cfm","management, organization, social"
"438","West Virginia University","Master of Professional Studies in Statistical and Data Sciences","M",FALSE,TRUE,"US","WV","Morgantown","Department of Statistics","http://www.stat.wvu.edu/Programs/mpsstat.html",""
"439","Ukrainian Catholic Univeristy","Computer Science with specialization in Data Science","M",FALSE,TRUE,"UA","","Lviv","Applied Science","http://csds.ucu.edu.ua/","independent, presentation, social"
"440","Sabancı University","Data Science","M",FALSE,TRUE,"TR","","","Engineering","http://da.sabanciuniv.edu/en","communication, competitive, decision making, management, organization, research, social, training"
"441","National University of Singapore","Business Analytics","M",FALSE,TRUE,"SG","","","","http://msba.nus.edu/home",""
"442","Dalarna University","Business Intelligence","M",FALSE,TRUE,"SE","","","","http://www.du.se/en/bi",""
"443","Blekinge Institute of Technology","Data Science Engineering","M",FALSE,TRUE,"SE","Blekinge","Karlskrona","Computer Science and Engineering","https://www.bth.se/nyheter/bth-startar-sveriges-forsta-civilingenjorsprogram-inom-data-science/",""
"444","Kth Royal Institute Of Technology","Machine Learning","M",FALSE,TRUE,"SE","","","","http://www.kth.se/en/studies/programmes/master/programmes/it/machinelearning",""
"445","Linköping University","Statistics And Data Mining","M",FALSE,TRUE,"SE","","","","http://www.liu.se/utbildning/pabyggnad/F7MSM?l=en",""
"446","Novosibirsk State University","MS in Big Data Analytics","M",FALSE,TRUE,"RU","","Novosibirsk","Mechanic-Mathematic","http://bigdatansu.ru/","communication, experience, management, organization, planning, research, social, training"
"447","Universidade Nova de Lisboa","Information Management","M",FALSE,TRUE,"PT","","","Statistics And Information Management","http://www.isegi.unl.pt/MGI/Especializacao/Gestao-Sistemas-Tecnologias-Informacao/Detalhe-do-Curso/plano-de-estudos.asp",""
"448","University of Auckland","Master of Professional Studies in Data Science","M",FALSE,TRUE,"NZ","","Auckland","Faculty of Science","http://www.science.auckland.ac.nz/en/about/subjects-and-specialisations/pg-subjects/data-science.html","experience, management, research, social"
"449","Auckland University of Technology","Master of Analytics","M",FALSE,TRUE,"NZ","","Auckland","","http://www.aut.ac.nz/study-at-aut/study-areas/computer-mathematical-sciences/postgraduate-degrees/master-of-analytics","communication, experience, management, research, social"
"450","University of Canterbury","Master of Applied Data Science","M",FALSE,TRUE,"NZ","Chnterbury","Christchurch","School of Mathematics and Statistics","http://www.canterbury.ac.nz/future-students/qualifications-and-courses/masters-degrees/master-of-applied-data-science/","communication, decision making, experience, leadership, management, mentoring, planning, problem solving, research, social"
"451","Massey University","Data Science","B",FALSE,TRUE,"NZ","","Auckland","","http://www.massey.ac.nz/massey/learning/programme-course-paper/programme.cfm?prog_id=92411&major_code=2913",""
"452","Massey University","Analytics","M",FALSE,TRUE,"NZ","","Auckland","","http://www.massey.ac.nz/massey/learning/programme-course-paper/programme.cfm?prog_id=93537",""
"453","University of Otago","Business Data Science","M",FALSE,TRUE,"NZ","","","Business","http://www.otago.ac.nz/business/study/postgraduate/otago052118.html","communication, decision making, experience, management, performance management, research, social"
"454","Erasmus University","Big Data and Business Analytics","M",FALSE,TRUE,"NL","","","","http://www.rsm.nl/master/msc-business-information-management/curriculum/starting-point/electives/big-data-and-business-analytics-block-5/","communication, competitive, decision making, experience, inspiring, leadership, management, motivated, organization, planning, presentation, research, social"
"455","Maastricht University","Artificial Intelligence","M",FALSE,TRUE,"NL","","","","http://www.maastrichtuniversity.nl/web/Schools/DKE/TargetGroup/ProspectiveStudents/MastersProgrammes/ArtificialIntelligence.htm",""
"456","Maastricht University","Business Intelligence","M",FALSE,TRUE,"NL","","","","http://www.maastrichtuniversity.nl/web/show/id=378498/langid=42","competitive, management, research, social"
"457","Radboud Universiteit Nijmegen","Business Analysis and Modelling","M",FALSE,TRUE,"NL","","","","http://www.ru.nl/businessadministration/study_programmes/master%27s_programmes_0/business_analysis/","flexible, research, social"
"458","Eindhoven University of Technology(TU/e)","Data Science in Engineering","M",FALSE,TRUE,"NL","","Eindhoven","","http://www.tue.nl/en/education/tue-graduate-school/masters-programs/data-science-in-engineering/","decision making, experience, inspiring, management, organization, research, social"
"459","Utrecht University","Business Informatics","M",FALSE,TRUE,"NL","","","Information and Computing Sciences","http://www.cs.uu.nl/education/","experience, management, research"
"460","Vrije Universiteit Amsterdam","Business Analytics","M",FALSE,TRUE,"NL","","","","http://www.vu.nl/nl/opleidingen/masteropleidingen/opleidingenoverzicht/a-b/business-analytics/index.asp","experience, flexible, management, organization, planning, presentation, research, training"
"461","Autonomous Technological Institute of Mexico","Master of Science Data","M",FALSE,TRUE,"MX","","Mexico City","","http://mcienciadatos.itam.mx/",""
"462","University of Aguascalientes","Data Science and Big Data","M",TRUE,TRUE,"MX","","","","http://www.ucuauhtemoc.edu.mx/educacionadistancia/contenido/maestria-ciencia-datos-procesamiento-datos-masivos-big-data.html","social"
